album_ID,album_Name,releasingDate,Song_ID,director_ID,producer_ID
1,Serenity's Embrace,30-06-2020 04:09,43,6,29
2,Eternal Echoes,27-09-2021 04:31,31,38,43
3,Golden Reverie,30-12-2021 12:02,33,23,4
4,Velvet Horizon,21-02-2020 20:12,20,46,34
5,Astral Harmony,06-03-2020 01:09,15,42,11
6,Mystic Mirage,22-03-2021 04:52,24,34,49
7,Crimson Serenade,19-05-2020 11:07,42,3,9
8,Whispers of Eternity,12-02-2020 10:03,6,47,50
9,Celestial Symphony,27-11-2021 05:51,27,12,21
10,Emerald Dreamscape,07-01-2020 06:09,12,32,32
11,Lunar Lullabies,20-05-2020 22:28,46,28,50
12,Sapphire Reflections,06-05-2022 09:31,29,35,32
13,Enchanted Odyssey,28-10-2020 19:13,1,17,36
14,Radiant Melodies,15-05-2020 12:39,19,44,4
15,Timeless Reverie,23-11-2020 15:38,13,40,42
16,Harmonic Horizons,06-05-2021 09:23,38,33,6
17,Ephemeral Echoes,21-01-2021 00:41,47,1,6
18,Silver Serenity,16-08-2020 14:53,2,31,33
19,Velvet Twilight,03-11-2020 08:41,8,41,48
20,Infinite Melodies,28-10-2020 19:13,43,13,8
